variable,long_name,component,experiment,frequency,vertical_levels,spatial_domain,units,start_time,end_time,path
FLNS,net longwave flux at surface,atm,20C,daily,1.0,global,W/m2,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-FLNS.zarr
FLNSC,clearsky net longwave flux at surface,atm,20C,daily,1.0,global,W/m2,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-FLNSC.zarr
FLUT,upwelling longwave flux at top of model,atm,20C,daily,1.0,global,W/m2,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-FLUT.zarr
FSNS,net solar flux at surface,atm,20C,daily,1.0,global,W/m2,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-FSNS.zarr
FSNSC,clearsky net solar flux at surface,atm,20C,daily,1.0,global,W/m2,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-FSNSC.zarr
FSNTOA,net solar flux at top of atmosphere,atm,20C,daily,1.0,global,W/m2,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-FSNTOA.zarr
ICEFRAC,fraction of sfc area covered by sea-ice,atm,20C,daily,1.0,global,fraction,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-ICEFRAC.zarr
LHFLX,surface latent heat flux,atm,20C,daily,1.0,global,W/m2,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-LHFLX.zarr
PRECL,large-scale (stable) precipitation rate (liq + ice),atm,20C,daily,1.0,global,m/s,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-PRECL.zarr
PRECSC,convective snow rate (water equivalent),atm,20C,daily,1.0,global,m/s,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-PRECSC.zarr
PRECSL,large-scale (stable) snow rate (water equivalent),atm,20C,daily,1.0,global,m/s,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-PRECSL.zarr
PRECT,total (convective and large-scale) precipitation rate (liq + ice),atm,20C,daily,1.0,global,m/s,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-PRECT.zarr
PRECTMX,maximum (convective and large-scale) precipitation rate (liq+ice),atm,20C,daily,1.0,global,m/s,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-PRECTMX.zarr
PSL,sea level pressure,atm,20C,daily,1.0,global,Pa,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-PSL.zarr
Q850,specific humidity at 850 mbar pressure surface,atm,20C,daily,1.0,global,kg/kg,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-Q850.zarr
SHFLX,surface sensible heat flux,atm,20C,daily,1.0,global,W/m2,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-SHFLX.zarr
TMQ,total (vertically integrated) precipitable water,atm,20C,daily,1.0,global,kg/m2,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-TMQ.zarr
TREFHT,reference height temperature,atm,20C,daily,1.0,global,K,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-TREFHT.zarr
TREFHTMN,minimum reference height temperature over output period,atm,20C,daily,1.0,global,K,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-TREFHTMN.zarr
TREFHTMX,maximum reference height temperature over output period,atm,20C,daily,1.0,global,K,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-TREFHTMX.zarr
TS,surface temperature (radiative),atm,20C,daily,1.0,global,K,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-TS.zarr
UBOT,lowest model level zonal wind,atm,20C,daily,1.0,global,m/s,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-UBOT.zarr
WSPDSRFAV,horizontal total wind speed average at the surface,atm,20C,daily,1.0,global,m/s,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-WSPDSRFAV.zarr
Z500,geopotential z at 500 mbar pressure surface,atm,20C,daily,1.0,global,m,1920-01-01 12:00:00,2005-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-20C-Z500.zarr
FLNS,net longwave flux at surface,atm,CTRL,daily,1.0,global,W/m2,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-CTRL-FLNS.zarr
FLNSC,clearsky net longwave flux at surface,atm,CTRL,daily,1.0,global,W/m2,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-CTRL-FLNSC.zarr
FLUT,upwelling longwave flux at top of model,atm,CTRL,daily,1.0,global,W/m2,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-CTRL-FLUT.zarr
FSNS,net solar flux at surface,atm,CTRL,daily,1.0,global,W/m2,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-CTRL-FSNS.zarr
FSNSC,clearsky net solar flux at surface,atm,CTRL,daily,1.0,global,W/m2,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-CTRL-FSNSC.zarr
FSNTOA,net solar flux at top of atmosphere,atm,CTRL,daily,1.0,global,W/m2,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-CTRL-FSNTOA.zarr
ICEFRAC,fraction of sfc area covered by sea-ice,atm,CTRL,daily,1.0,global,fraction,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-CTRL-ICEFRAC.zarr
LHFLX,surface latent heat flux,atm,CTRL,daily,1.0,global,W/m2,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-CTRL-LHFLX.zarr
PRECL,large-scale (stable) precipitation rate (liq + ice),atm,CTRL,daily,1.0,global,m/s,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-CTRL-PRECL.zarr
PRECSC,convective snow rate (water equivalent),atm,CTRL,daily,1.0,global,m/s,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-CTRL-PRECSC.zarr
PRECSL,large-scale (stable) snow rate (water equivalent),atm,CTRL,daily,1.0,global,m/s,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-CTRL-PRECSL.zarr
PSL,sea level pressure,atm,CTRL,daily,1.0,global,Pa,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-CTRL-PSL.zarr
SHFLX,surface sensible heat flux,atm,CTRL,daily,1.0,global,W/m2,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-CTRL-SHFLX.zarr
TMQ,total (vertically integrated) precipitable water,atm,CTRL,daily,1.0,global,kg/m2,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-CTRL-TMQ.zarr
TREFHT,reference height temperature,atm,CTRL,daily,1.0,global,K,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-CTRL-TREFHT.zarr
TREFHTMN,minimum reference height temperature over output period,atm,CTRL,daily,1.0,global,K,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-CTRL-TREFHTMN.zarr
TREFHTMX,maximum reference height temperature over output period,atm,CTRL,daily,1.0,global,K,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-CTRL-TREFHTMX.zarr
TS,surface temperature (radiative),atm,CTRL,daily,1.0,global,K,0402-01-01 12:00:00,2200-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-CTRL-TS.zarr
FLNS,net longwave flux at surface,atm,HIST,daily,1.0,global,W/m2,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-FLNS.zarr
FLNSC,clearsky net longwave flux at surface,atm,HIST,daily,1.0,global,W/m2,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-FLNSC.zarr
FLUT,upwelling longwave flux at top of model,atm,HIST,daily,1.0,global,W/m2,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-FLUT.zarr
FSNS,net solar flux at surface,atm,HIST,daily,1.0,global,W/m2,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-FSNS.zarr
FSNSC,clearsky net solar flux at surface,atm,HIST,daily,1.0,global,W/m2,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-FSNSC.zarr
FSNTOA,net solar flux at top of atmosphere,atm,HIST,daily,1.0,global,W/m2,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-FSNTOA.zarr
ICEFRAC,fraction of sfc area covered by sea-ice,atm,HIST,daily,1.0,global,fraction,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-ICEFRAC.zarr
LHFLX,surface latent heat flux,atm,HIST,daily,1.0,global,W/m2,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-LHFLX.zarr
PRECL,large-scale (stable) precipitation rate (liq + ice),atm,HIST,daily,1.0,global,m/s,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-PRECL.zarr
PRECSC,convective snow rate (water equivalent),atm,HIST,daily,1.0,global,m/s,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-PRECSC.zarr
PRECSL,large-scale (stable) snow rate (water equivalent),atm,HIST,daily,1.0,global,m/s,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-PRECSL.zarr
PRECT,total (convective and large-scale) precipitation rate (liq + ice),atm,HIST,daily,1.0,global,m/s,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-PRECT.zarr
PRECTMX,maximum (convective and large-scale) precipitation rate (liq+ice),atm,HIST,daily,1.0,global,m/s,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-PRECTMX.zarr
PSL,sea level pressure,atm,HIST,daily,1.0,global,Pa,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-PSL.zarr
Q850,specific humidity at 850 mbar pressure surface,atm,HIST,daily,1.0,global,kg/kg,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-Q850.zarr
SHFLX,surface sensible heat flux,atm,HIST,daily,1.0,global,W/m2,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-SHFLX.zarr
TMQ,total (vertically integrated) precipitable water,atm,HIST,daily,1.0,global,kg/m2,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-TMQ.zarr
TREFHT,reference height temperature,atm,HIST,daily,1.0,global,K,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-TREFHT.zarr
TREFHTMN,minimum reference height temperature over output period,atm,HIST,daily,1.0,global,K,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-TREFHTMN.zarr
TREFHTMX,maximum reference height temperature over output period,atm,HIST,daily,1.0,global,K,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-TREFHTMX.zarr
TS,surface temperature (radiative),atm,HIST,daily,1.0,global,K,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-TS.zarr
UBOT,lowest model level zonal wind,atm,HIST,daily,1.0,global,m/s,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-UBOT.zarr
WSPDSRFAV,horizontal total wind speed average at the surface,atm,HIST,daily,1.0,global,m/s,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-WSPDSRFAV.zarr
Z500,geopotential z at 500 mbar pressure surface,atm,HIST,daily,1.0,global,m,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-HIST-Z500.zarr
FLNS,net longwave flux at surface,atm,RCP85,daily,1.0,global,W/m2,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-RCP85-FLNS.zarr
FLNSC,clearsky net longwave flux at surface,atm,RCP85,daily,1.0,global,W/m2,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-RCP85-FLNSC.zarr
FLUT,upwelling longwave flux at top of model,atm,RCP85,daily,1.0,global,W/m2,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-RCP85-FLUT.zarr
FSNS,net solar flux at surface,atm,RCP85,daily,1.0,global,W/m2,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-RCP85-FSNS.zarr
FSNSC,clearsky net solar flux at surface,atm,RCP85,daily,1.0,global,W/m2,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-RCP85-FSNSC.zarr
FSNTOA,net solar flux at top of atmosphere,atm,RCP85,daily,1.0,global,W/m2,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-RCP85-FSNTOA.zarr
ICEFRAC,fraction of sfc area covered by sea-ice,atm,RCP85,daily,1.0,global,fraction,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-RCP85-ICEFRAC.zarr
LHFLX,surface latent heat flux,atm,RCP85,daily,1.0,global,W/m2,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-RCP85-LHFLX.zarr
PRECL,large-scale (stable) precipitation rate (liq + ice),atm,RCP85,daily,1.0,global,m/s,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-RCP85-PRECL.zarr
PRECSC,convective snow rate (water equivalent),atm,RCP85,daily,1.0,global,m/s,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-RCP85-PRECSC.zarr
PRECSL,large-scale (stable) snow rate (water equivalent),atm,RCP85,daily,1.0,global,m/s,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-RCP85-PRECSL.zarr
PRECT,total (convective and large-scale) precipitation rate (liq + ice),atm,RCP85,daily,1.0,global,m/s,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-RCP85-PRECT.zarr
PSL,sea level pressure,atm,RCP85,daily,1.0,global,Pa,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-RCP85-PSL.zarr
QBOT,lowest model level water vapor mixing ratio,atm,RCP85,daily,1.0,global,kg/kg,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-RCP85-QBOT.zarr
SHFLX,surface sensible heat flux,atm,RCP85,daily,1.0,global,W/m2,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-RCP85-SHFLX.zarr
TMQ,total (vertically integrated) precipitable water,atm,RCP85,daily,1.0,global,kg/m2,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-RCP85-TMQ.zarr
TREFHT,reference height temperature,atm,RCP85,daily,1.0,global,K,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-RCP85-TREFHT.zarr
TREFHTMN,minimum reference height temperature over output period,atm,RCP85,daily,1.0,global,K,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-RCP85-TREFHTMN.zarr
TREFHTMX,maximum reference height temperature over output period,atm,RCP85,daily,1.0,global,K,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-RCP85-TREFHTMX.zarr
TS,surface temperature (radiative),atm,RCP85,daily,1.0,global,K,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-RCP85-TS.zarr
UBOT,lowest model level zonal wind,atm,RCP85,daily,1.0,global,m/s,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-RCP85-UBOT.zarr
VBOT,lowest model level meridional wind,atm,RCP85,daily,1.0,global,m/s,2006-01-01 12:00:00,2100-12-31 12:00:00,s3://ncar-cesm-lens/atm/daily/cesmLE-RCP85-VBOT.zarr
FLNS,net longwave flux at surface,atm,20C,hourly6-1990-2005,1.0,global,W/m2,1990-01-01 00:00:00,2006-01-01 00:00:00,s3://ncar-cesm-lens/atm/hourly6-1990-2005/cesmLE-20C-FLNS.zarr
FSNS,net solar flux at surface,atm,20C,hourly6-1990-2005,1.0,global,W/m2,1990-01-01 00:00:00,2006-01-01 00:00:00,s3://ncar-cesm-lens/atm/hourly6-1990-2005/cesmLE-20C-FSNS.zarr
PSL,sea level pressure,atm,20C,hourly6-1990-2005,1.0,global,Pa,1990-01-01 00:00:00,2006-01-01 00:00:00,s3://ncar-cesm-lens/atm/hourly6-1990-2005/cesmLE-20C-PSL.zarr
Q,specific humidity,atm,20C,hourly6-1990-2005,30.0,global,kg/kg,1990-01-01 00:00:00,2006-01-01 00:00:00,s3://ncar-cesm-lens/atm/hourly6-1990-2005/cesmLE-20C-Q.zarr
T,temperature,atm,20C,hourly6-1990-2005,30.0,global,K,1990-01-01 00:00:00,2006-01-01 00:00:00,s3://ncar-cesm-lens/atm/hourly6-1990-2005/cesmLE-20C-T.zarr
TREFHT,reference height temperature,atm,20C,hourly6-1990-2005,1.0,global,K,1990-01-01 00:00:00,2006-01-01 00:00:00,s3://ncar-cesm-lens/atm/hourly6-1990-2005/cesmLE-20C-TREFHT.zarr
TS,surface temperature (radiative),atm,20C,hourly6-1990-2005,1.0,global,K,1990-01-01 00:00:00,2006-01-01 00:00:00,s3://ncar-cesm-lens/atm/hourly6-1990-2005/cesmLE-20C-TS.zarr
U,zonal wind,atm,20C,hourly6-1990-2005,30.0,global,m/s,1990-01-01 00:00:00,2006-01-01 00:00:00,s3://ncar-cesm-lens/atm/hourly6-1990-2005/cesmLE-20C-U.zarr
Z3,geopotential height (above sea level),atm,20C,hourly6-1990-2005,30.0,global,m,1990-01-01 00:00:00,2006-01-01 00:00:00,s3://ncar-cesm-lens/atm/hourly6-1990-2005/cesmLE-20C-Z3.zarr
FLNS,net longwave flux at surface,atm,RCP85,hourly6-2026-2035,1.0,global,W/m2,2026-01-01 00:00:00,2036-01-01 00:00:00,s3://ncar-cesm-lens/atm/hourly6-2026-2035/cesmLE-RCP85-FLNS.zarr
FSNS,net solar flux at surface,atm,RCP85,hourly6-2026-2035,1.0,global,W/m2,2026-01-01 00:00:00,2036-01-01 00:00:00,s3://ncar-cesm-lens/atm/hourly6-2026-2035/cesmLE-RCP85-FSNS.zarr
PRECT,total (convective and large-scale) precipitation rate (liq + ice),atm,RCP85,hourly6-2026-2035,1.0,global,m/s,2026-01-01 00:00:00,2036-01-01 00:00:00,s3://ncar-cesm-lens/atm/hourly6-2026-2035/cesmLE-RCP85-PRECT.zarr
PS,surface pressure,atm,RCP85,hourly6-2026-2035,1.0,global,Pa,2026-01-01 00:00:00,2036-01-01 00:00:00,s3://ncar-cesm-lens/atm/hourly6-2026-2035/cesmLE-RCP85-PS.zarr
PSL,sea level pressure,atm,RCP85,hourly6-2026-2035,1.0,global,Pa,2026-01-01 00:00:00,2036-01-01 00:00:00,s3://ncar-cesm-lens/atm/hourly6-2026-2035/cesmLE-RCP85-PSL.zarr
Q,specific humidity,atm,RCP85,hourly6-2026-2035,30.0,global,kg/kg,2026-01-01 00:00:00,2036-01-01 00:00:00,s3://ncar-cesm-lens/atm/hourly6-2026-2035/cesmLE-RCP85-Q.zarr
QREFHT,reference height humidity,atm,RCP85,hourly6-2026-2035,1.0,global,kg/kg,2026-01-01 00:00:00,2036-01-01 00:00:00,s3://ncar-cesm-lens/atm/hourly6-2026-2035/cesmLE-RCP85-QREFHT.zarr
T,temperature,atm,RCP85,hourly6-2026-2035,30.0,global,K,2026-01-01 00:00:00,2036-01-01 00:00:00,s3://ncar-cesm-lens/atm/hourly6-2026-2035/cesmLE-RCP85-T.zarr
TREFHT,reference height temperature,atm,RCP85,hourly6-2026-2035,1.0,global,K,2026-01-01 00:00:00,2036-01-01 00:00:00,s3://ncar-cesm-lens/atm/hourly6-2026-2035/cesmLE-RCP85-TREFHT.zarr
